"Post ID",Permalink,"Post Message",Type,Countries,Languages,Posted,"Audience Targeting","Lifetime Post Total Reach","Lifetime Post organic reach","Lifetime Post Paid Reach","Lifetime Post Total Impressions","Lifetime Post Organic Impressions","Lifetime Post Paid Impressions","Lifetime Engaged Users","Lifetime Post Consumers","Lifetime Post Consumptions","Lifetime Negative feedback","Lifetime Negative Feedback from Users","Lifetime Post Impressions by people who have liked your Page","Lifetime Post reach by people who like your Page","Lifetime Post Paid Impressions by people who have liked your Page","Lifetime Paid reach of a post by people who like your Page","Lifetime People who have liked your Page and engaged with your post","Lifetime Organic views to 95%","Lifetime Organic views to 95%","Lifetime Paid views to 95%","Lifetime Paid views to 95%","Lifetime Organic Video Views","Lifetime Organic Video Views","Lifetime Paid Video Views","Lifetime Paid Video Views","Lifetime Average time video viewed","Lifetime Video length","Lifetime Talking About This (Post) by action type - like","Lifetime Talking About This (Post) by action type - share","Lifetime Talking About This (Post) by action type - comment","Lifetime Post Stories by action type - like","Lifetime Post Stories by action type - share","Lifetime Post Stories by action type - comment","Lifetime Post consumers by type - other clicks","Lifetime Post consumers by type - photo view","Lifetime Post consumers by type - link clicks","Lifetime Post Consumptions by type - other clicks","Lifetime Post Consumptions by type - photo view","Lifetime Post Consumptions by type - link clicks","Lifetime Negative Feedback from Users by Type - hide_all_clicks","Lifetime Negative Feedback from Users by Type - hide_clicks","Lifetime Negative feedback - hide_all_clicks","Lifetime Negative feedback - hide_clicks"
,,,,,,,,"Lifetime: The total number of people your Page post was served to. (Unique Users)","Lifetime: The number of people who saw your Page post in news feed or ticker, or on your Page's timeline. (Unique Users)","Lifetime: The number of people your advertised Page post was served to. (Unique Users)","Lifetime: The number of impressions of your Page post. (Total Count)","Lifetime: The number of impressions of your post in News Feed or ticker or on your Page's Timeline. (Total Count)","Lifetime: The number of impressions of your Page post in an Ad or Sponsored Story. (Total Count)","Lifetime: The number of unique people who engaged in certain ways with your Page post, for example by commenting on, liking, sharing, or clicking upon particular elements of the post. (Unique Users)","Lifetime: The number of people who clicked anywhere in your post. (Unique Users)","Lifetime: The number of clicks anywhere in your post. (Total Count)","Lifetime: The number of people who have given negative feedback to your post. (Unique Users)","Lifetime: The number of times people have given negative feedback to your post. (Total Count)","Lifetime: The number of impressions of your Page post to people who have liked your Page. (Total Count)","Lifetime: The number of people who saw your Page post because they've liked your Page (Unique Users)","Lifetime: The number of paid impressions of your Page post to people who have liked your Page. (Total Count)","Lifetime: The number of people who like your Page and who saw your Page post in an ad or sponsored story. (Unique Users)","Lifetime: The number of people who have liked your Page and clicked anywhere in your posts. (Unique Users)","Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Total Count)","Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Total Count)","Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Total Count)","Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Total Count)","Lifetime: Average time video viewed (Total Count)","Lifetime: Length of a video post (Total Count)","Lifetime: The number of unique people who created a story about your Page post by interacting with it. (Unique Users)",,,"Lifetime: The number of stories created about your Page post, by action type. (Total Count)",,,"Lifetime: The number of people who clicked anywhere in your post, by type. (Unique Users)",,,"Lifetime: The number of clicks anywhere in your post, by type. (Total Count)",,,"Lifetime: The number of times people have given negative feedback to your post, by type. (Total Count)",,"Lifetime: The number of people who have given negative feedback to your post, by type. (Unique Users)",
882604215147359_1725405130867259,https://www.facebook.com/thetritonnews/posts/1725405130867259,"Halfway through finals week! The Triton wishes you the best of luck. 
If you aren't already, follow us on Instagram at www.instagram.com/triton_news/

PC: Emily Beihold",Photo,,,"12/13/2017 02:24:47 PM"," ",619,619,0,976,976,0,40,34,55,0,0,942,591,0,0,24,0,0,0,0,0,0,0,0,0,0,12,,,12,,,12,24,3,23,29,3,,,,
882604215147359_1723764837697955,https://www.facebook.com/thetritonnews/posts/1723764837697955,"The campus has placed 50 stationless bikes for a trial run around the campus, which will be followed by more bikes in January. But instead of a familiar yellow bike, they’re orange.",Link,,,"12/12/2017 09:01:05 AM"," ",2454,1787,0,4802,3469,0,355,331,441,0,0,3487,1770,0,0,299,0,0,0,0,0,0,0,0,0,0,58,2,7,61,2,7,216,,161,265,,176,,,,
882604215147359_1722497447824694,https://www.facebook.com/thetritonnews/posts/1722497447824694,"The UC San Diego Chamber Orchestra performed a diverse and lively set, ending with the beloved “Star Wars Suite”.",Link,,,"12/11/2017 09:00:38 AM"," ",1079,931,0,2054,1735,0,47,34,44,0,0,1745,931,0,0,40,0,0,0,0,0,0,0,0,0,0,23,1,3,24,1,3,15,,26,17,,27,,,,
882604215147359_1716185031789269,https://www.facebook.com/thetritonnews/posts/1716185031789269,"&quot;If all the guides look a certain way and come from a particular background, I’m curious about how that affects folks who are interested in getting involved, but don't look like them,&quot; says student Justin Huynh.",Link,,,"12/06/2017 04:25:13 PM"," ",2149,1619,0,4222,3170,0,317,307,595,0,0,3182,1606,0,0,237,0,0,0,0,0,0,0,0,0,0,30,1,5,32,1,12,226,,172,391,,204,,,,
882604215147359_1714503128624126,https://www.facebook.com/thetritonnews/posts/1714503128624126,"The Triton is chatting with two investigative journalists from Inewsource today, from 1-2pm in the communications building. Come join us and find out how these cool journalists do their work!",Link,,,"12/05/2017 10:00:54 AM"," ",336,336,0,567,567,0,16,13,13,0,0,541,323,0,0,15,0,0,0,0,0,0,0,0,0,0,5,,,5,,,13,,,13,,,,,,
882604215147359_1714444468629992,https://www.facebook.com/thetritonnews/posts/1714444468629992,"Outback Adventure guides are paid $40 to $50 per day, the equivalent of $1.60 to $10 per hour, for work days between five and 24 hours.",Link,,,"12/05/2017 09:00:44 AM"," ",3660,1905,0,9471,3725,0,791,762,3655,1,1,3999,1941,0,0,440,0,0,0,0,0,0,0,0,0,0,99,5,40,111,5,171,623,,365,3161,,494,1,,1,
882604215147359_1712725225468583,https://www.facebook.com/thetritonnews/posts/1712725225468583,"The Triton is launching the Documenting Hate project here at UCSD, in collaboration with the independent news organization ProPublica. The nationwide project tracks hate crimes and bias incidents via local newsrooms, and will allow students to report incidents from their own lives.",Link,,,"12/04/2017 04:00:36 PM"," ",1917,770,0,3757,1327,0,136,110,150,1,1,2065,1048,0,0,110,0,0,0,0,0,0,0,0,0,0,55,5,,70,5,,84,,41,105,,45,1,,1,
882604215147359_1712628095478296,https://www.facebook.com/thetritonnews/posts/1712628095478296:0,"Tomorrow from 1 PM - 2 PM, learn the inside scoop on professional investigative journalism!
More info here: https://goo.gl/NqAsGs",Photo,,,"12/04/2017 02:05:40 PM"," ",539,539,0,906,906,0,22,18,29,0,0,878,517,0,0,18,0,0,0,0,0,0,0,0,0,0,5,,,5,,,3,12,5,5,19,5,,,,
882604215147359_1712579892149783,https://www.facebook.com/thetritonnews/posts/1712579892149783,"&quot;Like all art forms, dance expresses cultural roots and tells a story.&quot;",Link,,,"12/04/2017 01:01:10 PM"," ",463,456,0,810,804,0,11,8,12,0,0,778,441,0,0,11,0,0,0,0,0,0,0,0,0,0,4,,,4,,,5,1,4,7,1,4,,,,
