"Post ID",Permalink,"Post Message",Type,Countries,Languages,Posted,"Audience Targeting","Lifetime Post Total Reach","Lifetime Post organic reach","Lifetime Post Paid Reach","Lifetime Post Total Impressions","Lifetime Post Organic Impressions","Lifetime Post Paid Impressions","Lifetime Engaged Users","Lifetime Post Consumers","Lifetime Post Consumptions","Lifetime Negative feedback","Lifetime Negative Feedback from Users","Lifetime Post Impressions by people who have liked your Page","Lifetime Post reach by people who like your Page","Lifetime Post Paid Impressions by people who have liked your Page","Lifetime Paid reach of a post by people who like your Page","Lifetime People who have liked your Page and engaged with your post","Lifetime Organic views to 95%","Lifetime Organic views to 95%","Lifetime Paid views to 95%","Lifetime Paid views to 95%","Lifetime Organic Video Views","Lifetime Organic Video Views","Lifetime Paid Video Views","Lifetime Paid Video Views","Lifetime Average time video viewed","Lifetime Video length","Lifetime Talking About This (Post) by action type - share","Lifetime Talking About This (Post) by action type - like","Lifetime Talking About This (Post) by action type - comment","Lifetime Post Stories by action type - share","Lifetime Post Stories by action type - like","Lifetime Post Stories by action type - comment","Lifetime Post consumers by type - other clicks","Lifetime Post consumers by type - link clicks","Lifetime Post consumers by type - photo view","Lifetime Post Consumptions by type - other clicks","Lifetime Post Consumptions by type - link clicks","Lifetime Post Consumptions by type - photo view","Lifetime Negative Feedback from Users by Type - hide_clicks","Lifetime Negative Feedback from Users by Type - hide_all_clicks","Lifetime Negative feedback - hide_clicks","Lifetime Negative feedback - hide_all_clicks"
,,,,,,,,"Lifetime: The total number of people your Page post was served to. (Unique Users)","Lifetime: The number of people who saw your Page post in news feed or ticker, or on your Page's timeline. (Unique Users)","Lifetime: The number of people your advertised Page post was served to. (Unique Users)","Lifetime: The number of impressions of your Page post. (Total Count)","Lifetime: The number of impressions of your post in News Feed or ticker or on your Page's Timeline. (Total Count)","Lifetime: The number of impressions of your Page post in an Ad or Sponsored Story. (Total Count)","Lifetime: The number of unique people who engaged in certain ways with your Page post, for example by commenting on, liking, sharing, or clicking upon particular elements of the post. (Unique Users)","Lifetime: The number of people who clicked anywhere in your post. (Unique Users)","Lifetime: The number of clicks anywhere in your post. (Total Count)","Lifetime: The number of people who have given negative feedback to your post. (Unique Users)","Lifetime: The number of times people have given negative feedback to your post. (Total Count)","Lifetime: The number of impressions of your Page post to people who have liked your Page. (Total Count)","Lifetime: The number of people who saw your Page post because they've liked your Page (Unique Users)","Lifetime: The number of paid impressions of your Page post to people who have liked your Page. (Total Count)","Lifetime: The number of people who like your Page and who saw your Page post in an ad or sponsored story. (Unique Users)","Lifetime: The number of people who have liked your Page and clicked anywhere in your posts. (Unique Users)","Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Total Count)","Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Total Count)","Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Total Count)","Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Total Count)","Lifetime: Average time video viewed (Total Count)","Lifetime: Length of a video post (Total Count)","Lifetime: The number of unique people who created a story about your Page post by interacting with it. (Unique Users)",,,"Lifetime: The number of stories created about your Page post, by action type. (Total Count)",,,"Lifetime: The number of people who clicked anywhere in your post, by type. (Unique Users)",,,"Lifetime: The number of clicks anywhere in your post, by type. (Total Count)",,,"Lifetime: The number of times people have given negative feedback to your post, by type. (Total Count)",,"Lifetime: The number of people who have given negative feedback to your post, by type. (Unique Users)",
882604215147359_1688458027895303,https://www.facebook.com/thetritonnews/posts/1688458027895303,"UCSD’s ArtPower has brought David Sedaris to San Diego multiple times; with the release of Sedaris’ new book “Theft By Finding,” released this past May, a 2017 appearance by Sedaris was highly anticipated.",Link,,,"11/18/2017 07:51:27 PM"," ",7238,6966,0,14091,13617,0,41,29,38,0,0,3554,1707,0,0,34,0,0,0,0,0,0,0,0,0,0,1,24,,2,31,,14,19,,18,20,,,,,
882604215147359_1686711178069988,https://www.facebook.com/thetritonnews/posts/1686711178069988,"&quot;Set against the backdrop of Taiwan’s 2008 Cross-Strait (Taiwan-China) political turbulence, Ying-Ting Tseng’s romantic melodrama tells a heartbreaking but stunning story of lives destroyed by fear.&quot;",Link,,,"11/17/2017 05:01:12 PM"," ",7483,7385,0,15867,15613,0,64,56,66,1,1,4155,1818,0,0,54,0,0,0,0,0,0,0,0,0,0,1,21,,1,24,,27,33,,30,36,,1,,1,
882604215147359_1686636748077431,https://www.facebook.com/thetritonnews/posts/1686636748077431,"&quot;When we talk about the n-word, non-Black people need to take a step back and listen.&quot;",Link,,,"11/17/2017 03:22:12 PM"," ",15732,7177,0,34443,14669,0,1782,1582,2782,1,1,7302,2667,0,0,642,0,0,0,0,0,0,0,0,0,0,77,417,25,83,531,37,639,1290,,1197,1585,,1,,1,
882604215147359_1686310158110090,https://www.facebook.com/thetritonnews/posts/1686310158110090,"“Do you care as much as you ought? Do you love as fiercely as you could? Well, why the hell not?”",Link,,,"11/17/2017 09:51:36 AM"," ",7551,7539,0,15585,15574,0,115,104,113,0,0,4335,1872,0,0,114,0,0,0,0,0,0,0,0,0,0,,19,,,19,,11,97,,13,100,,,,,
882604215147359_1685355241538915,https://www.facebook.com/thetritonnews/posts/1685355241538915,"In 2003, Jacobs donated $110 million to the school to support scholarships and fellowships.",Link,,,"11/16/2017 04:35:11 PM"," ",7299,6890,0,14632,13900,0,68,59,69,0,0,4255,1818,0,0,61,0,0,0,0,0,0,0,0,0,0,1,18,,1,21,,18,47,,20,49,,,,,
882604215147359_1685328088208297,https://www.facebook.com/thetritonnews/posts/1685328088208297,"While the study claims that noise is caused because of how sound waves travel over the ocean and move over the hills of La Jolla, it does not offer any explanation as to why these reasons would cause an increase in noise perceived by La Jolla residents.",Link,,,"11/16/2017 04:01:25 PM"," ",8712,8469,0,19207,18252,0,278,255,346,0,0,5000,2101,0,0,246,0,0,0,0,0,0,0,0,0,0,2,40,6,2,46,8,163,133,,205,141,,,,,
882604215147359_1684933898247716,https://www.facebook.com/thetritonnews/posts/1684933898247716,"“The school knows that chosen names are important when it wants to be referred to as ‘UC San Diego,’ so why won’t UCSD’s administration give students the same respect?”",Link,,,"11/16/2017 09:00:55 AM"," ",11229,8807,0,25312,19049,0,747,687,872,2,3,6030,2376,0,0,425,0,0,0,0,0,0,0,0,0,0,11,124,,11,145,,301,456,,397,475,,2,1,2,1
882604215147359_1684030815004691,https://www.facebook.com/thetritonnews/posts/1684030815004691,"The announcement came this afternoon through a Facebook post on the festival’s event page.",Link,,,"11/15/2017 04:10:59 PM"," ",9585,8698,0,20981,18829,0,441,418,588,0,0,5071,2202,0,0,359,0,0,0,0,0,0,0,0,0,0,4,35,5,4,38,8,234,246,,322,266,,,,,
882604215147359_1684006038340502,https://www.facebook.com/thetritonnews/posts/1684006038340502,"La Santa Cecilia, Mexrissey, and Mariachi Flor de Toloache performed at Balboa Theater, sponsored by ArtPower.",Link,,,"11/15/2017 03:35:17 PM"," ",4764,4764,0,8967,8965,0,20,10,12,0,0,3358,1520,0,0,19,0,0,0,0,0,0,0,0,0,0,,12,,,12,,5,5,,5,7,,,,,
